dataset,mode,role,lambda,n_budget_type,n_budget,n_star,n_star_ci_low,n_star_ci_high,reference_type,reference_n,ratio,ratio_ci_low,ratio_ci_high,early_stop_flag,budget_sensitive,budget_extrapolates_beyond_observed
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.5320100502512564,observed_max,50.0,8,,,N95,22.0,0.36363636363636365,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.5369346733668342,observed_max,50.0,8,,,N95,22.0,0.36363636363636365,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.541859296482412,observed_max,50.0,8,,,N95,22.0,0.36363636363636365,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.54678391959799,observed_max,50.0,8,,,N95,22.0,0.36363636363636365,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.5517085427135678,observed_max,50.0,8,,,N95,22.0,0.36363636363636365,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.5566331658291458,observed_max,50.0,8,,,N95,22.0,0.36363636363636365,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.5615577889447236,observed_max,50.0,8,,,N95,22.0,0.36363636363636365,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.5664824120603016,observed_max,50.0,8,,,N95,22.0,0.36363636363636365,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.5714070351758794,observed_max,50.0,9,,,N95,22.0,0.4090909090909091,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.5763316582914573,observed_max,50.0,9,,,N95,22.0,0.4090909090909091,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.5812562814070352,observed_max,50.0,9,,,N95,22.0,0.4090909090909091,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.5861809045226131,observed_max,50.0,9,,,N95,22.0,0.4090909090909091,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.591105527638191,observed_max,50.0,9,,,N95,22.0,0.4090909090909091,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.5960301507537689,observed_max,50.0,9,,,N95,22.0,0.4090909090909091,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.6009547738693468,observed_max,50.0,9,,,N95,22.0,0.4090909090909091,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.6058793969849247,observed_max,50.0,9,,,N95,22.0,0.4090909090909091,,,True,True,False
