bootstrap,N,C
26,28,0.9927
26,29,0.9927
26,30,0.9931
26,31,0.9935
26,32,0.9935
26,33,0.9931
26,34,0.9932
26,35,0.9932
26,36,0.9937
26,37,0.9939
26,38,0.9936
26,39,0.9937
26,40,0.9934
26,41,0.9936
26,42,0.9934
26,43,0.9933
26,44,0.9935
26,45,0.9931
26,46,0.9934
26,47,0.9931
26,48,0.9932
26,49,0.9936
26,50,0.9934
27,2,0.9535
27,3,0.9789
27,4,0.9837
27,5,0.9864
27,6,0.9867
27,7,0.9866
27,8,0.9865
27,9,0.9887
27,10,0.9877
27,11,0.9887
27,12,0.9891
27,13,0.9897
27,14,0.9904
27,15,0.9904
27,16,0.9902
27,17,0.9909
27,18,0.9905
27,19,0.99
27,20,0.9903
27,21,0.9907
27,22,0.9908
27,23,0.9905
27,24,0.9907
27,25,0.9915
27,26,0.991
27,27,0.9915
27,28,0.9919
27,29,0.9918
27,30,0.9921
27,31,0.9921
27,32,0.992
27,33,0.9925
27,34,0.9922
27,35,0.992
27,36,0.9927
27,37,0.993
27,38,0.9933
27,39,0.9932
27,40,0.9932
27,41,0.9927
27,42,0.9927
27,43,0.9928
27,44,0.9927
27,45,0.9931
27,46,0.9926
27,47,0.9928
27,48,0.9927
27,49,0.9923
27,50,0.9924
28,2,0.9559
28,3,0.9812
28,4,0.9821
28,5,0.9848
28,6,0.9879
28,7,0.9884
28,8,0.9881
28,9,0.9881
28,10,0.9891
28,11,0.99
28,12,0.9901
28,13,0.9893
28,14,0.9916
28,15,0.991
28,16,0.9918
28,17,0.9924
28,18,0.9922
28,19,0.992
28,20,0.9919
28,21,0.9916
28,22,0.992
28,23,0.9914
28,24,0.9916
28,25,0.9918
28,26,0.9915
28,27,0.9917
28,28,0.9918
28,29,0.9916
28,30,0.9914
28,31,0.9914
28,32,0.9914
28,33,0.9913
28,34,0.9918
28,35,0.9914
28,36,0.9916
28,37,0.9916
28,38,0.9913
28,39,0.9915
28,40,0.9913
28,41,0.992
28,42,0.9922
28,43,0.9917
28,44,0.9925
28,45,0.992
28,46,0.9921
28,47,0.9915
28,48,0.9922
28,49,0.9911
28,50,0.9923
29,2,0.9543
29,3,0.9761
29,4,0.9818
29,5,0.9849
29,6,0.9851
29,7,0.9873
29,8,0.9874
29,9,0.9875
29,10,0.9892
29,11,0.9897
29,12,0.9909
29,13,0.9908
29,14,0.9909
29,15,0.9895
29,16,0.9901
29,17,0.9902
29,18,0.9906
29,19,0.9912
29,20,0.9914
29,21,0.9915
29,22,0.9918
29,23,0.9915
29,24,0.9919
29,25,0.9912
29,26,0.9911
29,27,0.9906
29,28,0.9918
29,29,0.9906
29,30,0.992
29,31,0.9905
29,32,0.9907
29,33,0.9907
29,34,0.9905
29,35,0.9908
29,36,0.9904
29,37,0.9909
29,38,0.9911
29,39,0.9908
29,40,0.991
29,41,0.9907
29,42,0.9911
29,43,0.9911
29,44,0.9909
29,45,0.9906
29,46,0.9903
29,47,0.9907
29,48,0.9903
29,49,0.9906
29,50,0.9904
30,2,0.9588
30,3,0.9827
30,4,0.9856
30,5,0.989
30,6,0.9896
30,7,0.9882
30,8,0.9896
30,9,0.9897
30,10,0.9907
30,11,0.9912
30,12,0.9919
30,13,0.9915
30,14,0.9916
30,15,0.9919
30,16,0.9923
30,17,0.9921
30,18,0.9929
30,19,0.9928
30,20,0.9926
30,21,0.9925
30,22,0.9929
30,23,0.9928
30,24,0.9929
30,25,0.9924
30,26,0.9928
30,27,0.9923
30,28,0.9925
30,29,0.9927
30,30,0.9928
30,31,0.9931
30,32,0.9933
30,33,0.9929
30,34,0.9931
30,35,0.993
30,36,0.993
30,37,0.9931
30,38,0.9931
30,39,0.9931
30,40,0.9933
30,41,0.9934
30,42,0.9933
30,43,0.9933
30,44,0.9934
30,45,0.9932
30,46,0.9937
30,47,0.9932
30,48,0.9935
30,49,0.9938
30,50,0.9939
31,2,0.9584
31,3,0.981
31,4,0.9867
31,5,0.9895
31,6,0.9891
31,7,0.9907
31,8,0.9908
31,9,0.9921
31,10,0.9914
31,11,0.9917
31,12,0.9922
31,13,0.9923
31,14,0.9925
31,15,0.9918
31,16,0.9917
31,17,0.9921
31,18,0.9925
31,19,0.9929
31,20,0.993
31,21,0.9923
31,22,0.9926
31,23,0.9922
31,24,0.9929
31,25,0.9927
31,26,0.9927
31,27,0.9929
31,28,0.9928
31,29,0.993
31,30,0.993
31,31,0.9931
31,32,0.9933
31,33,0.9932
31,34,0.9933
31,35,0.9933
31,36,0.9933
31,37,0.9932
31,38,0.9933
31,39,0.9934
31,40,0.9936
31,41,0.9939
31,42,0.9936
31,43,0.9933
31,44,0.994
31,45,0.9934
31,46,0.9934
31,47,0.9933
31,48,0.9935
