dataset,mode,role,lambda,n_budget_type,n_budget,eta,n_max,n_star,n_star_unconstrained,capacity_binds,n_star_ci_low,n_star_ci_high,reference_type,reference_n,ratio,ratio_ci_low,ratio_ci_high,early_stop_flag,budget_sensitive,budget_extrapolates_beyond_observed
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.47291457286432165,observed_max,50.0,0.022290936138561257,50,8,8,False,,,N95,29.0,0.27586206896551724,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.47783919597989954,observed_max,50.0,0.02185508465664107,50,8,8,False,,,N95,29.0,0.27586206896551724,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.4827638190954774,observed_max,50.0,0.021428125325283646,50,8,8,False,,,N95,29.0,0.27586206896551724,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.4876884422110553,observed_max,50.0,0.02100978876867594,50,8,8,False,,,N95,29.0,0.27586206896551724,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.4926130653266332,observed_max,50.0,0.020599816382739975,50,8,8,False,,,N95,29.0,0.27586206896551724,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.4975376884422111,observed_max,50.0,0.020197959802040196,50,8,8,False,8.0,9.0,N95,29.0,0.27586206896551724,0.24242424242424243,0.3080000000000001,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.5,observed_max,50.0,0.02,50,8,8,False,8.0,9.0,N95,29.0,0.27586206896551724,0.24242424242424243,0.3080000000000001,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.502462311557789,observed_max,50.0,0.0198039803980398,50,8,8,False,8.0,9.0,N95,29.0,0.27586206896551724,0.24242424242424243,0.3080000000000001,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.5073869346733668,observed_max,50.0,0.01941764880657621,50,8,8,False,,,N95,29.0,0.27586206896551724,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.5123115577889448,observed_max,50.0,0.019038744482589503,50,8,8,False,,,N95,29.0,0.27586206896551724,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.5172361809045226,observed_max,50.0,0.018667055280287573,50,8,8,False,,,N95,29.0,0.27586206896551724,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.5221608040201006,observed_max,50.0,0.018302377057068612,50,8,8,False,,,N95,29.0,0.27586206896551724,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.5270854271356784,observed_max,50.0,0.01794451329964725,50,9,9,False,,,N95,29.0,0.3103448275862069,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.5320100502512564,observed_max,50.0,0.017593274770945494,50,9,9,False,,,N95,29.0,0.3103448275862069,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.5369346733668342,observed_max,50.0,0.017248479176415536,50,9,9,False,,,N95,29.0,0.3103448275862069,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.541859296482412,observed_max,50.0,0.016909950848557915,50,9,9,False,,,N95,29.0,0.3103448275862069,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.54678391959799,observed_max,50.0,0.016577520448488186,50,9,9,False,,,N95,29.0,0.3103448275862069,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.5517085427135678,observed_max,50.0,0.016251024683486655,50,9,9,False,,,N95,29.0,0.3103448275862069,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.5566331658291458,observed_max,50.0,0.015930306039541386,50,9,9,False,,,N95,29.0,0.3103448275862069,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.5615577889447236,observed_max,50.0,0.015615212527964205,50,9,9,False,,,N95,29.0,0.3103448275862069,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.5664824120603016,observed_max,50.0,0.015305597445223095,50,9,9,False,,,N95,29.0,0.3103448275862069,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.5714070351758794,observed_max,50.0,0.015001319145193912,50,9,9,False,,,N95,29.0,0.3103448275862069,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.5763316582914573,observed_max,50.0,0.014702240823088327,50,10,10,False,,,N95,29.0,0.3448275862068966,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.5812562814070352,observed_max,50.0,0.014408230310365693,50,10,10,False,,,N95,29.0,0.3448275862068966,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.5861809045226131,observed_max,50.0,0.014119159879982855,50,10,10,False,,,N95,29.0,0.3448275862068966,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.591105527638191,observed_max,50.0,0.013834906061378896,50,10,10,False,,,N95,29.0,0.3448275862068966,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.5960301507537689,observed_max,50.0,0.013555349464631985,50,10,10,False,,,N95,29.0,0.3448275862068966,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.6009547738693468,observed_max,50.0,0.013280374613261973,50,10,10,False,,,N95,29.0,0.3448275862068966,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.6058793969849247,observed_max,50.0,0.013009869785187027,50,10,10,False,,,N95,29.0,0.3448275862068966,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.6108040201005025,observed_max,50.0,0.01274372686137392,50,10,10,False,,,N95,29.0,0.3448275862068966,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.6157286432160805,observed_max,50.0,0.012481841181751406,50,10,10,False,,,N95,29.0,0.3448275862068966,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.6206532663316583,observed_max,50.0,0.012224111407983159,50,10,10,False,,,N95,29.0,0.3448275862068966,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.6255778894472362,observed_max,50.0,0.011970439392722304,50,11,11,False,,,N95,29.0,0.3793103448275862,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.6305025125628141,observed_max,50.0,0.011720730054993226,50,11,11,False,,,N95,29.0,0.3793103448275862,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.635427135678392,observed_max,50.0,0.011474891261368126,50,11,11,False,,,N95,29.0,0.3793103448275862,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.6403517587939699,observed_max,50.0,0.011232833712626539,50,11,11,False,,,N95,29.0,0.3793103448275862,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.6452763819095477,observed_max,50.0,0.010994470835604704,50,11,11,False,,,N95,29.0,0.3793103448275862,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.6502010050251257,observed_max,50.0,0.01075971867995981,50,11,11,False,,,N95,29.0,0.3793103448275862,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.6551256281407035,observed_max,50.0,0.010528495819590396,50,11,11,False,,,N95,29.0,0.3793103448275862,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.6600502512562815,observed_max,50.0,0.010300723258469733,50,11,11,False,,,N95,29.0,0.3793103448275862,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.6649748743718593,observed_max,50.0,0.010076324340663493,50,12,12,False,,,N95,29.0,0.41379310344827586,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.6698994974874373,observed_max,50.0,0.009855224664316252,50,12,12,False,,,N95,29.0,0.41379310344827586,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.6748241206030151,observed_max,50.0,0.009637351999404272,50,12,12,False,,,N95,29.0,0.41379310344827586,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.679748743718593,observed_max,50.0,0.009422636209063355,50,12,12,False,,,N95,29.0,0.41379310344827586,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.6846733668341709,observed_max,50.0,0.009211009174311925,50,12,12,False,,,N95,29.0,0.41379310344827586,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.6895979899497487,observed_max,50.0,0.009002404721999563,50,12,12,False,,,N95,29.0,0.41379310344827586,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.6945226130653267,observed_max,50.0,0.00879675855582085,50,12,12,False,,,N95,29.0,0.41379310344827586,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.6994472361809045,observed_max,50.0,0.008594008190243552,50,13,13,False,,,N95,29.0,0.4482758620689655,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.7043718592964825,observed_max,50.0,0.008394092887208385,50,13,13,False,,,N95,29.0,0.4482758620689655,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.7092964824120603,observed_max,50.0,0.008196953595465815,50,13,13,False,,,N95,29.0,0.4482758620689655,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.7142211055276382,observed_max,50.0,0.00800253289242243,50,13,13,False,,,N95,29.0,0.4482758620689655,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.7191457286432161,observed_max,50.0,0.007810774928376771,50,13,13,False,,,N95,29.0,0.4482758620689655,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.724070351758794,observed_max,50.0,0.007621625373030744,50,13,13,False,,,N95,29.0,0.4482758620689655,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.7289949748743719,observed_max,50.0,0.0074350313641690195,50,14,14,False,,,N95,29.0,0.4827586206896552,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.7339195979899498,observed_max,50.0,0.007250941458404656,50,14,14,False,,,N95,29.0,0.4827586206896552,,,True,False,False
